"annotation_id","annotator","created_at","id","komentar","label","lead_time","sentiment","updated_at"
168,"1","2025-05-15T14:25:04.665298Z",2001,"“So here fasion a look” 😭🙏🏻😭","",8.207,"tidak sarkastik","2025-05-15T14:25:22.928570Z"
169,"1","2025-05-15T14:25:07.616260Z",2002,"michele Halim low budget 😢","",2.691,"sarkastik","2025-05-15T14:25:07.616260Z"
170,"1","2025-05-15T14:25:16.596475Z",2003,"""So here fashionel look""","",8.736,"tidak sarkastik","2025-05-15T14:25:16.596475Z"
214,"1","2025-05-15T14:46:26.445668Z",2004,"awww","",61.037,"tidak sarkastik","2025-05-15T14:46:26.445668Z"
215,"1","2025-05-15T14:47:17.636211Z",2005,"finnal look bkn fashion look hohhh😭🤣","",50.946,"tidak sarkastik","2025-05-15T14:47:17.636211Z"
216,"1","2025-05-15T14:47:20.158103Z",2006,"bjir michelle halim","",2.29,"sarkastik","2025-05-15T14:47:20.158103Z"
217,"1","2025-05-15T14:47:23.452276Z",2007,"cosplay michelle halim kah? tapi kenapa gini wkwk😭","",3.067,"sarkastik","2025-05-15T14:47:23.452276Z"
218,"1","2025-05-15T14:47:29.057679Z",2008,"dihina tak tumbang dipuji tak pantas😇","",5.388,"sarkastik","2025-05-15T14:47:29.057679Z"
219,"1","2025-05-15T14:47:35.987440Z",2009,"gw kiraa diaa lagi megang bukett 😭😭","",6.663,"tidak sarkastik","2025-05-15T14:47:35.987440Z"
220,"1","2025-05-15T14:47:40.558481Z",2010,"STRES SMUA STRESS😭👊🏻","",4.334,"tidak sarkastik","2025-05-15T14:47:40.558481Z"
221,"1","2025-05-15T14:47:43.736666Z",2011,"eh tapi seru bngt liat ny😭😭","",2.941,"tidak sarkastik","2025-05-15T14:47:43.736666Z"
222,"1","2025-05-15T14:47:46.369475Z",2012,"lu ngpain njir😭🗿","",2.403,"tidak sarkastik","2025-05-15T14:47:46.369475Z"
223,"1","2025-05-15T14:47:49.720888Z",2013,"tapii ketiakk nya bersihhh lohhh👀👀😭","",3.125,"tidak sarkastik","2025-05-15T14:47:49.720888Z"
224,"1","2025-05-15T14:47:52.807990Z",2014,"""MENYALA BADAN KU"" 😭😭😭😭","",2.847,"tidak sarkastik","2025-05-15T14:47:52.807990Z"
225,"1","2025-05-15T14:47:55.768424Z",2015,"stresss😭","",2.73,"sarkastik","2025-05-15T14:47:55.768424Z"
226,"1","2025-05-15T14:47:59.102830Z",2016,"rozi sekarang lucu bgtt","",3.095,"sarkastik","2025-05-15T14:47:59.102830Z"
227,"1","2025-05-15T14:48:01.660223Z",2017,"wanita yang apa??","",2.336,"tidak sarkastik","2025-05-15T14:48:01.660223Z"
228,"1","2025-05-15T14:48:06.783315Z",2018,"terserah anj terserah😭","",4.893,"tidak sarkastik","2025-05-15T14:48:06.783315Z"
229,"1","2025-05-15T14:49:00.428099Z",2019,"mending rozi dari pda iputttt , rozi menghibur coo😭","",53.354,"tidak sarkastik","2025-05-15T14:49:00.428099Z"
230,"1","2025-05-15T14:49:05.686832Z",2020,"smpe gbsa bedain mna michelle halim mna rozi","",4.734,"sarkastik","2025-05-15T14:49:05.686832Z"
231,"1","2025-05-15T14:49:08.409457Z",2021,"merinding setempik²😭😭😭","",2.379,"tidak sarkastik","2025-05-15T14:49:08.409457Z"
232,"1","2025-05-15T14:49:11.293686Z",2022,"STRESS SEMUA STRESS","",2.603,"tidak sarkastik","2025-05-15T14:49:11.293686Z"
233,"1","2025-05-15T14:49:13.825879Z",2023,"GA KUAT","",2.293,"tidak sarkastik","2025-05-15T14:49:13.825879Z"
234,"1","2025-05-15T14:49:16.292661Z",2024,"stresss semua stresss😭","",2.232,"tidak sarkastik","2025-05-15T14:49:16.292661Z"
235,"1","2025-05-15T14:49:21.525002Z",2025,"ulalalaa menyala badanku 😭","",4.99,"tidak sarkastik","2025-05-15T14:49:21.525002Z"
